timestamp,job_runtime_sec,total_rec_per_sec,checkpoint_mb,heap_pct,gc_sec,managed_mb,managed_used_mb,managed_pct,backpressure,rocksdb_compactions,rocksdb_pending_comp_mb,rocksdb_mem_tables_mb,rocksdb_stall_ms,rocksdb_write_stopped,rocksdb_flushes,rocksdb_immutable_mems,rocksdb_flush_pending,rocksdb_live_data_mb,rocksdb_cache_hit_rate_pct
2025-10-13 16:27:07,1310,633,2201.56,75,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:25,1328,575,2201.56,83,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:29,1332,575,2201.56,83,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:33,1336,520,2201.56,23,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:37,1340,520,2201.56,23,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:40,1343,520,2201.56,34,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:45,1348,549,2201.56,34,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:49,1352,549,2201.56,34,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:52,1355,549,2201.56,45,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:27:56,1359,577,2201.56,45,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:00,1363,577,2201.56,45,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:04,1367,577,2201.56,45,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:08,1371,616,2201.56,56,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:12,1375,616,2201.56,56,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:16,1379,616,2201.56,56,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:20,1383,660,2201.56,67,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:24,1387,660,2201.56,67,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:28,1391,660,2201.56,67,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:32,1395,694,2201.56,77,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:36,1399,694,2201.56,77,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:39,1402,694,2201.56,21,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:44,1407,710,2201.56,21,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:48,1411,710,2201.56,21,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:51,1414,710,2201.56,31,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:55,1418,675,2201.56,31,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:28:59,1422,675,2201.56,31,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:03,1426,675,2201.56,31,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:06,1429,663,2201.56,42,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:10,1433,663,2201.56,42,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:14,1437,663,2201.56,42,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:18,1441,676,2201.56,52,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:22,1445,676,2201.56,52,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:26,1449,659,2201.56,63,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:31,1454,659,2201.56,63,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:35,1458,659,2201.56,63,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:39,1462,689,2356.72,78,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:43,1466,689,2356.72,78,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:48,1471,689,2356.72,78,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:52,1475,648,2356.72,19,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:29:56,1479,648,2356.72,19,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:00,1483,648,2356.72,19,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:04,1487,640,2356.72,29,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:08,1491,640,2356.72,29,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:12,1494,640,2356.72,40,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:15,1498,625,2356.72,40,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:19,1502,625,2356.72,40,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:23,1506,625,2356.72,51,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:27,1510,647,2356.72,51,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:31,1514,647,2356.72,51,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:34,1517,647,2356.72,62,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:38,1521,715,2356.72,62,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:42,1525,715,2356.72,62,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:46,1529,715,2356.72,62,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:49,1532,703,2356.72,73,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:53,1536,703,2356.72,73,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:30:57,1540,703,2356.72,73,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:01,1544,727,2356.72,83,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:05,1548,727,2356.72,83,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:09,1552,727,2356.72,26,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:14,1556,727,2356.72,26,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:18,1561,727,2356.72,26,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:22,1565,711,2356.72,33,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:31:40,1583,640,2356.72,49,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:17,1620,510,2356.72,65,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:23,1626,480,2356.72,73,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:27,1630,480,2356.72,73,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:31,1634,460,2356.72,80,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:35,1638,460,2356.72,80,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:39,1642,460,2356.72,80,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:43,1646,465,2356.72,20,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:47,1650,465,2356.72,20,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:51,1654,482,2356.72,27,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:55,1658,482,2356.72,27,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:32:58,1661,482,2356.72,27,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:02,1665,475,2356.72,35,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:06,1669,475,2356.72,35,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:09,1672,475,2356.72,35,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:14,1677,487,2356.72,42,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:17,1680,487,2356.72,42,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:21,1684,487,2356.72,42,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:25,1688,495,2356.72,50,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:29,1692,495,2356.72,50,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:33,1696,495,2356.72,50,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:36,1699,503,2356.72,58,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:40,1703,503,2356.72,58,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:44,1707,503,2356.72,58,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:48,1711,516,2356.72,67,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:52,1715,516,2356.72,67,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:55,1718,516,2356.72,67,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:33:59,1722,521,2356.72,75,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:34:02,1726,521,2356.72,75,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:34:06,1729,521,2356.72,75,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:34:10,1733,516,2356.72,83,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:34:14,1737,516,2356.72,83,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:34:19,1742,498,2356.72,88,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:34:23,1746,498,2356.72,88,10,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
